ProDataCSV

Title: Sat Jun 22 19:31:15 2024

Remarks:
#User: SX User
#Date: 2024/06/22
#HV (Absorbance channel): 206.528
#Samples per point: 9600
#Sample period: 12.5 us
#Temperature: 19.87 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Jun 22 19:45:01 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 120s,linear,oversampled,external trigger,pressure hold off (pressure released immediately)
Repeat,3 repeats in set., -iter option selected
Wavelength,Wavelength: 305nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,305
25.2,-0.00240492,-0.00213901,-0.00251241
25.32,-0.00235039,-0.00216827,-0.00245573
25.44,-0.00227258,-0.00213335,-0.00246211
25.56,-0.00221268,-0.00209362,-0.00245666
25.68,-0.00218177,-0.00200098,-0.00252023
25.8,-0.00224981,-0.0019816,-0.00259718
25.92,-0.00226552,-0.0019664,-0.00269021
26.04,-0.00226027,-0.00198825,-0.00273862
26.16,-0.00230188,-0.00205797,-0.0027324
26.28,-0.00232598,-0.00208069,-0.00264843
26.4,-0.0023611,-0.00212294,-0.00254617
26.52,-0.00235106,-0.00211104,-0.00254746
26.64,-0.00232531,-0.00219419,-0.00247946
26.76,-0.00226465,-0.00224956,-0.00241609
26.88,-0.00233237,-0.00223853,-0.00238026
27,-0.00236666,-0.0022238,-0.00242
27.12,-0.00222633,-0.00223179,-0.00248255
27.24,-0.00212732,-0.00217909,-0.00259275
27.36,-0.00206163,-0.00217003,-0.00268229
27.48,-0.00207245,-0.00222473,-0.00264426
27.6,-0.0020673,-0.00219825,-0.00251864
27.72,-0.00201097,-0.00222257,-0.00239462
27.84,-0.00197516,-0.00218553,-0.00234354
27.96,-0.00200489,-0.00211537,-0.0023489
28.08,-0.00201819,-0.00205699,-0.00236687
28.2,-0.00198222,-0.00204261,-0.00234972
28.32,-0.00188501,-0.00201705,-0.00234231
28.44,-0.00184681,-0.0020456,-0.00238911
28.56,-0.00174143,-0.0020237,-0.00244888
28.68,-0.00169182,-0.00198258,-0.00244518
28.8,-0.00172317,-0.00195655,-0.00241588
28.92,-0.00178108,-0.00198227,-0.00232145
29.04,-0.00185965,-0.00196902,-0.00222612
29.16,-0.00188898,-0.00196134,-0.0021947
29.28,-0.00186805,-0.00193336,-0.00220624
29.4,-0.00184001,-0.00194583,-0.00230322
29.52,-0.00192491,-0.00202958,-0.00231028
29.64,-0.00200922,-0.00202442,-0.00238834
29.76,-0.00198624,-0.00188857,-0.00242371
29.88,-0.00197789,-0.00180433,-0.00243303
30,-0.00188831,-0.00169692,-0.00230595
30.12,-0.00174096,-0.00164927,-0.00224029
30.24,-0.00163307,-0.00165345,-0.00211439
